rank,percentileRank,acaiIndicators,institution,index,lat,lng,dx,dy,yype,researchActivity,regionalCoverage,sizeBucket,sizeStudentsInThousands,t1UniversityRulesPoliciesRegulations,t2CenterForTeachingAndLearning,t3AiInstituteInitiativeCenterHubAi,t4LibraryLibraryGuides,t5AcademicIntegrityHonorCode,t6AiSteeringCommitteeTaskForce,t7OtherRelevantLinks,,,
52,66,54.55,Davidson College,U65,35.4991,-80.8429,0,0,Teaching-Oriented/Liberal Arts,-,South,small,2,- https://www.davidson.edu/ai ,None,"- https://www.davidson.edu/ai
- https://davidson.libguides.com/generative-ai/home ","- https://davidson.libguides.com/generative-ai/citing-ai
- https://davidson.libguides.com/generative-ai/home ",- https://www.davidson.edu/ai,None,"- https://support.ti.davidson.edu/hc/en-us/articles/33964136234903-Getting-Started-with-Amplify-Gen-AI-at-Davidson-College 
- https://support.ti.davidson.edu/hc/en-us/articles/33964433768215-Amplify-Gen-AI-Advanced-Use-Guide-for-Davidson-College 
- https://support.ti.davidson.edu/hc/en-us/articles/33874438596247-Getting-Started-with-Google-Gemini-at-Davidson-College ",,,
53,66,54.55,University of Colorado Colorado Springs,U17,38.8458,-104.8214,0,0,Public Research-Oriented,R2,West,medium,11,"- https://oit.uccs.edu/artificial-intelligence
- https://www.cu.edu/service-desk/how-guides/guidance-artificial-intelligence-tools-use 
- https://ai.uccs.edu/ ","- https://ai.uccs.edu/ 
- https://frc.uccs.edu/teaching_resources 
- https://frc.uccs.edu/teaching_resources/ai_in_academics ","- https://ai.uccs.edu/ 
- https://www.cu.edu/uis/ai-resources 
- https://oit.uccs.edu/artificial-intelligence ","- https://libguides.uccs.edu/airesearch   
- https://ai.uccs.edu/ 
- https://libguides.uccs.edu/tcid_ai",- https://ai.uccs.edu/ ,None,"- https://ai.uccs.edu/  
- https://c3innovation.uccs.edu/  ",,,
54,66,54.55,University of Illinois Urbana-Champaign,U19,40.1106,-88.226,0,0,Public Research-Oriented,R1,Midwest,large,55,"- https://genai.illinois.edu/ethical-and-responsible-use-of-generative-ai/  
- https://genai.illinois.edu/  
- https://guides.library.illinois.edu/generativeAI/ethics   
- https://guides.library.illinois.edu/generativeAI/privacy   
- https://guides.library.illinois.edu/generativeAI/documenting  
- https://extension.illinois.edu/commit/ai-guidelines 
- https://ldlprogram.web.illinois.edu/academic-integrity-statement/ 
- https://www.vpaa.uillinois.edu/digital_risk_management/generative_ai/principles 
- https://extension.illinois.edu/commit/ai-guidelines 
- https://genai.illinois.edu/best-practices-using-generative-ai-in-research/ ","- https://citl.illinois.edu/   
- https://citl.illinois.edu/innovate-us   
- https://citl.illinois.edu/learn-new-technologies/generative-artificial-intelligence-gen-ai ","- https://ai.ncsa.illinois.edu/   
- https://www.ncsa.illinois.edu/research/artificial-intelligence/   
- https://aice.illinois.edu/   
- https://research.illinois.edu/strategic-partnerships/c3ai   
- https://genai.illinois.edu/ ","- https://guides.library.illinois.edu/generativeAI   
- https://guides.library.illinois.edu/generativeAI/researchai   
- https://guides.library.illinois.edu/generativeAI/ethics   
- https://guides.library.illinois.edu/generativeAI/experts   ","- https://genai.illinois.edu/best-practices-teaching-and-learning/   
- https://genai.illinois.edu/best-practice-notify-learners-of-expectations-for-using-generative-ai-to-support-learning/   
- https://genai.illinois.edu/best-practice-acknowledge-ai-use-and-cite-ai-generated-content/  
- https://genai.illinois.edu/best-practice-use-generative-ai-for-assessment-and-feedback/  
- https://genai.illinois.edu/best-practice-leverage-personalized-learning-support/   
- https://citl.illinois.edu/generative-artificial-intelligence-gen-ai/teaching-implications   ","- https://provost.illinois.edu/about/committees/education-2/campus-ai-curriculum-task-force/ 
- https://boldly.illinois.edu/being-bold/ ","- https://ncsa.illinois.edu/research/artificial-intelligence/   
- https://ai.ncsa.illinois.edu/     
- https://ai.ncsa.illinois.edu/center-for-artificial-intelligence-innovation/   
- https://citl.illinois.edu/learn-new-technologies/generative-artificial-intelligence-gen-ai  
- https://research.illinois.edu/researchunit/artificial-intelligence-future-agricultural-resilience-management-and-sustainability    
- https://icap.sustainability.illinois.edu/project-update/artificial-intelligence-managing-%E2%80%9Chigh-tunnel%E2%80%9D-food-production   ",,,
55,70,53.03,Wichita State University,U23,37.6889,-97.3361,0,0,Public Research-Oriented,R2,Midwest,medium,18,"- https://www.wichita.edu/about/student_conduct/AIVAI.php 
- https://www.wichita.edu/services/mrc/OIR/AI/security.php 
- https://www.wichita.edu/academics/academic_affairs/fare/syllabuspolicies.php 
- https://www.wichita.edu/services/mrc/OIR/AI/ethics.php ",- https://www.wichita.edu/services/mrc/OIR/AI/index.php ,"- https://www.wichita.edu/academics/applied_studies/School_of_Education/Programs/aigenlab.php 
- https://www.wichita.edu/services/mrc/OIR/AI/index.php 
- https://www.wichita.edu/industry_and_defense/ai-sec/ai-sec-index.php ","- https://libraries.wichita.edu/ArtificialIntelligence   
- https://libraries.wichita.edu/ai   
- https://libraries.wichita.edu/c.php?g=1005148&p=10232293 ",- https://www.wichita.edu/about/student_conduct/AIVAI.php  ,"- https://www.wichita.edu/academics/facultysenate/adhoccomtes.php 
- https://www.wichita.edu/services/mrc/ai-interest-group.php ",- https://libraries.wichita.edu/ArtificialIntelligence ,,,
56,72,51.52,Wofford College,U67,34.7013,-82.7239,0,0,Teaching-Oriented/Liberal Arts,-,South,small,2,"- https://www.wofford.edu/about/ai-working-group 
- https://libguides.wofford.edu/AI 
- https://www.wofford.edu/Wofford.edu/Documents/student-experiences/campus-life/student-handbook.pdf 
- https://www.wofford.edu/wofford.edu/documents/student-experiences/campus-life/code-of-student-rights-and-responsibilities.pdf ",- https://www.wofford.edu/about/ai-working-group  ,- https://www.wofford.edu/about/ai-working-group,- https://libguides.wofford.edu/AI ,"- https://libguides.wofford.edu/AI   
- https://www.wofford.edu/about/ai-working-group 
- https://www.wofford.edu/Wofford.edu/Documents/student-experiences/campus-life/student-handbook.pdf 
- https://www.wofford.edu/wofford.edu/documents/student-experiences/campus-life/code-of-student-rights-and-responsibilities.pdf 
- https://www.wofford.edu/Wofford.edu/Documents/Diversity-and-Inclusion/HonorCode.pdf ","- https://www.wofford.edu/about/ai-working-group
- https://libguides.wofford.edu/c.php?g=1324410&p=9746687 ",None,,,
57,72,51.52,Georgia Southern University,U6,32.7721,-81.7812,0,0,Public Research-Oriented,R2,South,large,28,- https://digitalcommons.georgiasouthern.edu/provost/51/ ,"- https://www.georgiasouthern.edu/faculty-staff/faculty-center/teaching-resources 
- https://ww2.georgiasouthern.edu/academics/faculty-center/teaching-at-georgia-southern/ 
- https://ww2.georgiasouthern.edu/academics/faculty-center/professional-development/badges/ ",- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force ,- https://georgiasouthern.libguides.com/AI ,- https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=1050&context=provost ,- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force ,"- https://digitalcommons.georgiasouthern.edu/provost/51/   
- https://www.georgiasouthern.edu/colleges/arts-humanities/research-outreach/ai-task-force   
- https://ww2.georgiasouthern.edu/academics/faculty-center/professional-development/badges/   
- https://ww2.georgiasouthern.edu/academics/ce/ai-impact-conference-understanding-and-adapting-to-ai/   
- https://ww2.georgiasouthern.edu/academics/ce/unlocking-the-power-of-ai/  
- https://www.georgiasouthern.edu/academics/continuing-professional-education/courses/the-power-of-ai   
- https://careertraining.georgiasouthern.edu/training-programs/data-science-and-artificial-intelligence-course/ ",,,
58,72,51.52,University of Denver,U45,39.6784,-104.9627,0,0,Private Research-Oriented,R1,West,medium,13,"- https://libguides.du.edu/AIpolicy 
- https://otl.du.edu/plan-a-course/teaching-resources/artificial-intelligence-ai-in-the-classroom/concerns-about-ai-programs/ 
- https://studentaffairs.du.edu/sites/default/files/2023-09/Honor%20Code%202023%202024%20PublishB%201.pdf ","- https://otl.du.edu/plan-a-course/teaching-resources/artificial-intelligence-ai-in-the-classroom/   
- https://otl.du.edu/plan-a-course/teaching-resources/artificial-intelligence-ai-in-the-classroom/du-faculty-features-how-faculty-are-using-ai-in-the-classroom/   
- https://otl.du.edu/plan-a-course/teaching-resources/sample-syllabus-statements/ ",- https://www.du.edu/artificial-intelligence ,"- https://www.du.edu/artificial-intelligence/research   
- https://libguides.du.edu/AIpolicy ",- https://studentaffairs.du.edu/sites/default/files/2023-09/Honor%20Code%202023%202024%20PublishB%201.pdf ,None,None,,,
59,75,50,Westminster University,U71,40.7376,-111.8441,0,0,Teaching-Oriented/Liberal Arts,-,West,small,1,None,None,None,- https://westminsteru.edu/academics/giovale-library/citation-resources.html ,None,None,None,,,
60,76,48.48,Ball State University,U25,40.1981,-85.4102,0,0,Public Research-Oriented,R2,Midwest,large,20,"- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-guidelines   
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/academic-integrity   
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-tools   
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-resources   
- https://www.bsu.edu/about/administrativeoffices/vice-provost/faculty-services/professional-development/academic-integrity-and-ai   
- https://www.bsu.edu/academics/centersandinstitutes/writingcenter/artificial-intelligence ","- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-courses-and-training 
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/getting-started-with-ai ","- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives 
- https://www.bsu.edu/academics/centersandinstitutes/writingcenter/artificial-intelligence 
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-guidelines ","- https://bsu.libguides.com/AIinformationresources 
- https://bsu.libguides.com/c.php?g=1395427&p=10320859 ","- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/academic-integrity   
- https://www.bsu.edu/about/administrativeoffices/vice-provost/faculty-services/professional-development/academic-integrity-and-ai   
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives ",None,"- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives   
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-guidelines   
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-tools   
- https://www.bsu.edu/about/administrativeoffices/information-technology/services/ai-initiatives/ai-resources   ",,,
61,79,48.48,Rhodes College,U66,35.134,-90.052,0,0,Teaching-Oriented/Liberal Arts,-,South,small,2,"- https://catalog.rhodes.edu/educational-program/academic-regulations 
- https://sites.rhodes.edu/sites/sites/files/2025-03/Artificial_Intelligence_Guidelines.pdf ",- https://sites.rhodes.edu/faculty-development-and-mentoring/support-teaching ,- https://sites.rhodes.edu/sites/sites/files/2025-03/Artificial_Intelligence_Guidelines.pdf ,- https://libguides.rhodes.edu/GenerativeAI ,- https://catalog.rhodes.edu/educational-program/academic-regulations ,None,- https://sites.rhodes.edu/sites/sites/files/2023-12/Rhodes_AI_Pamphlet_Part_1.pdf ,,,
62,79,48.48,Brown University,U57,41.8268,-71.4025,0,0,Private Research-Oriented,R1,Northeast,medium,11,- https://ithelp.brown.edu/kb/articles/protecting-information-when-using-ai-tools ,"- https://sheridan.brown.edu/resources/classroom-practices/intentional-pedagogy-ai-technology   
- https://sheridan.brown.edu/resources/digital-online-teaching 
- https://sheridan.brown.edu/resources/teaching-ai-mind",None,"- https://libguides.brown.edu/AI   
- https://library.brown.edu/create/libnews/critical-ai-learning-community-fall-2025/   
- https://library.brown.edu/create/cds/experiments-in-artificial-intelligence-digital-scholarship/ ",None,None,None,,,
63,79,48.48,Clark University,U63,42.2382,-71.528,0,0,Private Research-Oriented,R2,Northeast,small,4,None,None,"- https://www.clarku.edu/advancement-lab/
- https://www.clarku.edu/library/2025/11/03/generative-ai-101/ ",- https://www.clarku.edu/library/2025/11/03/generative-ai-101/ ,- https://www.clarku.edu/library/2025/11/03/generative-ai-101/,None,None,,,
64,79,48.48,Abilene Christian University,U38,32.448,-99.7331,0,0,Private Research-Oriented,R2,South,small,6,"- https://guides.acu.edu/facultychatgpt
- https://guides.acu.edu/c.php?g=1316157&p=9677751",None,None,- https://guides.acu.edu/facultychatgpt ,- None,None,- https://guides.acu.edu/facultychatgpt ,,,
65,84,46.97,Wesleyan University,U77,41.5565,-72.6568,0,0,Teaching-Oriented/Liberal Arts,-,Northeast,small,3,- https://www.wesleyan.edu/its/policies/Generative%20AI%20Policy.html ,- https://www.wesleyan.edu/cfcd/Generative%20AI%20Statement.html,None,- https://libguides.wesleyan.edu/chatgpt   ,- https://www.wesleyan.edu/studentaffairs/studenthandbook/honor-code.html   ,None,None,,,
66,84,46.97,Illinois Institute of Technology,U53,41.8339,-87.627,0,0,Private Research-Oriented,R2,Midwest,small,8,"- https://www.iit.edu/cli/faculty-resources/generative-ai-resources 
- https://webmaster.iit.edu/files/ots/Acceptable-Use-Policy.pdf ",- https://www.iit.edu/cli/ai-teaching-and-learning ,- http://ai.iit.edu/ ,- https://guides.library.iit.edu/ai_chatgpt ,- https://www.iit.edu/academic-affairs/academic-honesty-guidelines ,"- https://www.iit.edu/provost/special-initiatives/core-curriculum-task-force
- http://ai.iit.edu/#service ",- https://www.iit.edu/act ,,,
67,84,46.97,Nova Southeastern University,U37,26.0714,-80.2521,0,0,Private Research-Oriented,R1,South,large,22,"- https://www.nova.edu/learning-educational-center/ai/index.html  
- https://libguides.nova.edu/GenAI/NSU   
- https://libguides.nova.edu/GenAI ",None,- https://infosec.nova.edu/index.html ,"- https://libguides.nova.edu/GenAI   
- https://libguides.nova.edu/AI  ","- https://www.nova.edu/publications/chcs/chcs_student_handbook/27/   
- https://libguides.nova.edu/GenAI/NSU ",- None,- https://www.nova.edu/learning-educational-center/ai/index.html   ,,,
68,86,45.45,Kean University,U32,40.6674,-74.23,0,0,Public Research-Oriented,R2,Northeast,medium,18,"- https://www.kean.edu/academic-integrity   
- https://www.kean.edu/media/academic-integrity-policy-0 
- https://www.kean.edu/media/computer-related-acceptable-use-policy 
- https://libguides.kean.edu/AI ",- https://www.kean.edu/center-teaching-excellence ,None,"- https://libguides.kean.edu/AI 
- https://libguides.kean.edu/AIdatabasetools ","- https://www.kean.edu/academic-integrity   
- https://www.kean.edu/media/academic-integrity-policy   ",None,None,,,
69,87,43.94,Occidental College,U68,34.1296,-118.212,0,0,Teaching-Oriented/Liberal Arts,-,West,small,2,"- https://libguides.oxy.edu/c.php?g=1294909&p=9510697 
- https://www.oxy.edu/academics/library/research-support/ai-position-statement ",- https://libguides.oxy.edu/AI/faculty ,None,"- https://www.oxy.edu/academics/library/research-support/academic-technology 
- https://libguides.oxy.edu/AI 
- https://www.oxy.edu/academics/library/research-support/ai-position-statement 
- https://libguides.oxy.edu/copyright_toolkit/AI ",- https://libguides.oxy.edu/AI/students ,None,None,,,
70,89,43.94,Stevens Institute of Technology,U61,40.744,-74.0259,0,0,Private Research-Oriented,R2,Northeast,small,8,- https://www.stevens.edu/page-chapter/artificial-intelligence,None,"- https://www.stevens.edu/page-minisite-landing/stevens-institute-for-artificial-intelligence 
- https://www.stevens.edu/it/programs-projects/artificial-intelligence ",- https://library.stevens.edu/ai,None,- https://www.stevens.edu/stevens-institute-for-artificial-intelligence/affiliated-faculty ,None,,,
71,89,43.94,California Institute of Technology,U43,34.1377,-118.1253,0,0,Private Research-Oriented,R1,West,small,2,"- https://www.imss.caltech.edu/services/collaboration-storage-backups/caltech-ai/guidelines-for-secure-and-ethical-use-of-artificial-intelligence-ai   
- https://aiinteaching.caltech.edu/  
- https://www.hss.caltech.edu/hss-policies/hss-policy-on-generative-ai 
- https://caltech.app.box.com/s/nbp3eg1x5h6ye3nznoi3118f5imjtxoj ","- https://ctlo.caltech.edu/universityteaching/resources/resources-for-teaching-in-the-age-of-ai 
- https://aiinteaching.caltech.edu/   
- https://writing.caltech.edu/resources-for-instructors/generative-ai-and-college-writing ",- https://ai4science.caltech.edu/   ,None,"- https://aiinteaching.caltech.edu/ 
- https://caltech.app.box.com/s/nbp3eg1x5h6ye3nznoi3118f5imjtxoj ",None,"- https://ist.caltech.edu/ai4science   
- https://cast.caltech.edu/   
- https://ctme.caltech.edu/ai-ml-lab-for-engineering-and-science.html   ",,,
72,91,42.42,Long Island University,U62,40.75,-73.868,0,0,Private Research-Oriented,R2,Northeast,medium,15,"- https://liu.cwp.libguides.com/c.php?g=1356512 
- https://liu.edu/content/policy/aa/AA-Use-of-Artificial-Intelligence-Statement.pdf ",None,"- https://www.liu.edu/AI 
- https://liu.cwp.libguides.com/c.php?g=1356512 ",- https://liu.cwp.libguides.com/c.php?g=1356512 ,- https://liu.cwp.libguides.com/c.php?g=1356512 ,None,- https://liu.edu/student-success/learning-center/writing-center/For-Students ,,,
73,92,40.91,Marquette University,U52,43.0389,-87.9289,0,0,Private Research-Oriented,R2,Midwest,medium,12,"- https://www.marquette.edu/center-for-teaching-and-learning/emerging-technologies-artificial-intelligence.php  
- https://www.marquette.edu/center-for-teaching-and-learning/ai-communicating-with-students.php ","- https://www.marquette.edu/center-for-teaching-and-learning/emerging-technologies-artificial-intelligence.php   
- https://www.marquette.edu/center-for-teaching-and-learning/ai-communicating-with-students.php 
- https://www.marquette.edu/center-for-teaching-and-learning/syllabus-guide.php ",- https://www.marquette.edu/center-for-teaching-and-learning/emerging-technologies-artificial-intelligence.php ,- https://libguides.marquette.edu/generative_technologies ,"- https://www.marquette.edu/provost/academic-integrity.php   
- https://www.marquette.edu/digital-learning/academic-integrity.php   
- https://www.marquette.edu/center-for-teaching-and-learning/emerging-technologies-artificial-intelligence.php   
- https://www2.mu.edu/center-for-teaching-and-learning/ai-communicating-with-students.php 
- https://www.marquette.edu/provost/academic-integrity-tutorial-summary.php ",None,- https://www.marquette.edu/ts/chatbot/ ,,,
74,94,39.39,Beloit College,U74,42.5083,-89.0305,0,0,Teaching-Oriented/Liberal Arts,-,Midwest,small,1,None,None,- None,- https://guides.beloit.edu/c.php?g=1340175 ,None,None,None,,,
75,95,34.85,Grinnell College,U72,41.743,-92.7237,0,0,Teaching-Oriented/Liberal Arts,-,Midwest,small,2,None,"- https://www.grinnell.edu/academics/centers-programs-resources/center-teaching-learning-assessment/teaching-resources
- https://www.grinnell.edu/sites/default/files/docs/2025-07/Grinnell%20Syllabus%20Design%20Guidelines_Version%207_7-14-25.pdf",None,- https://grinnell.libguides.com/ai_in_library_tools,"- https://www.grinnell.edu/doc/academic-honesty-booklet   
- https://catalog.grinnell.edu/content.php?catoid=38&navoid=6372#honest-academic",None,None,,,
76,96,31.82,Jackson State University,U9,32.3126,-90.1848,0,0,Public Research-Oriented,R2,South,small,6,"- https://www.jsums.edu/theepathway/common-syllabus-links-for-students/ 
- https://www.jsums.edu/ai/ ","- https://www.jsums.edu/scholars/main/teaching-learning/ 
- https://www.jsums.edu/scholars/main/teaching-research-writing-balance/ 
- https://www.jsums.edu/scholars/#AIONRAMP ","- https://www.jsums.edu/ai/   
- https://www.jsums.edu/ai-agency/   
- https://www.jsums.edu/scholars/faculty-ai-literacy-hub/ ",- https://drive.google.com/file/d/182Ra2GDW5cBWbL7zThSsWI4nA7xNuW_w/view ,- https://www.jsums.edu/theepathway/common-syllabus-links-for-students/ ,None,"- https://www.jsums.edu/ai/   
- https://www.jsums.edu/ai-agency/   
- https://www.jsums.edu/www.jsums.edu/ai-agency/   
- https://www.jsums.edu/scholars/faculty-ai-literacy-hub/   
- https://www.jsums.edu/informationtechnology/dit-software/ ",,,
77,97,28.79,Clark Atlanta University,U40,33.7488,-84.3916,0,0,Private Research-Oriented,R2,South,small,4,None,None,- https://www.ai4opt.org/aihubcau ,- https://www.ai4opt.org/aihubcau ,None,None,- https://cpd.cau.edu/resources/quinncia/   ,,,
78,99,27.27,Creighton University,U55,41.2586,-96.0099,0,0,Private Research-Oriented,R2,Midwest,medium,9,- https://catalog.creighton.edu/graduate/administration-policies/academic-responsibility/academic-misconduct-policy/academic-misconduct-policy.pdf ,"- https://www.creighton.edu/about/leadership-key-offices-contacts/office-provost/center-faculty-excellence 
- https://culibraries.creighton.edu/c.php?g=1334271&p=11204790 ","- https://www.creighton.edu/academics/libraries/emerging-technologies 
- https://culibraries.creighton.edu/AI ","- https://culibraries.creighton.edu/AI   
- https://www.creighton.edu/academics/libraries/emerging-technologies   ",- https://catalog.creighton.edu/graduate/administration-policies/academic-responsibility/academic-misconduct-policy/academic-misconduct-policy.pdf ,None,"- https://culibraries.creighton.edu/writing/tools 
- https://www.creighton.edu/student-success/careercenter/students/grow-your-skills ",,,
79,99,27.27,University of Massachusetts at Dartmouth,U30,41.6342,-70.922,0,0,Public Research-Oriented,R2,Northeast,small,8,None,- https://www.umassd.edu/ofd/resources/teaching-and-learning-resources/ ,None,- https://guides.lib.umassd.edu/citingAI ,None,None,None,,,
